CountryID,Countries,ISO Code,Region,Human Freedom Score,Personal Freedom Score,Economic Index Score
167,Trinidad and Tobago,TTO,Latin America & the Caribbean,-0.06907894736842105,-0.09684684684684679,-0.1337047353760445
168,Tunisia,TUN,Middle East & North Africa,-0.24671052631578946,-0.22522522522522526,-0.17827298050139273
169,Turkey,TUR,Middle East & North Africa,-0.20394736842105265,-0.277027027027027,0.07799442896935925
171,Uganda,UGA,Sub-Saharan Africa,-0.0723684210526315,-0.2590090090090089,-0.058495821727019344
172,Ukraine,UKR,Eastern Europe,-0.18750000000000008,-0.09234234234234238,-0.2646239554317549
173,United Arab Emirates,ARE,Middle East & North Africa,-0.2302631578947369,-0.42342342342342343,0.44011142061281333
174,United Kingdom,GBR,Western Europe,0.5394736842105265,0.42342342342342343,0.476323119777159
175,United States,USA,North America,0.536184210526316,0.3941441441441444,0.4178272980501393
176,Uruguay,URY,Latin America & the Caribbean,0.29934210526315796,0.3265765765765766,0.18941504178272972
179,Venezuela,VEN,Latin America & the Caribbean,-0.9967105263157895,-0.43693693693693686,-1.0
180,Vietnam,VNM,South Asia,-0.17763157894736842,-0.14864864864864868,-0.18105849582172703
181,Yemen,YEM,Middle East & North Africa,-0.8322368421052633,-0.9504504504504505,
182,Zambia,ZMB,Sub-Saharan Africa,-0.11184210526315784,-0.18918918918918917,-0.22841225626740935
183,Zimbabwe,ZWE,Sub-Saharan Africa,-0.388157894736842,-0.30630630630630623,-0.596100278551532
